Sr.No.,Inputs Required,INPUT details,Instructions
,Rule#280-Detect when One or more Sophos services are missing or not running.,,"Description:The rule will detect when one or more sophos services are missing or not running properly
"
1,Incident,,
2,Reported Time,,
3,Observe the events,,"Check the device, name of service (missing or not running) , source IP, source name, time"
4,Check Sophos Console for the user health agent status,,Check in the sophos console >> My products >>  Endpoint >> computer (check with a bad status) update the user details if any service is missing.
5,Check if the status all the services are running or not,,"If all services are running ok, no need to take action. 
If any service is missing raise a ticket or Incident to SSIT Team."
6,Make a word document to list the details of user if any of the sophos services missing,,"Attached the details as an Artificats to next sheet based on the details available in the events, update accordingly in the word document."
7,Raise a Incident ticket in SNOW,,Steps to create incident (Ref: Incident Screeshot) 
8,"Upload the same word document (Step no. 6) and also upload the ""Sophos perm Fix"" video which is shared in the soc group ",,"Attach word document with all the details and upload the video, For video link refer next sheet (Video Link tab)"
9,Follow up with the IT Team for raising the ticket,,Regularly Check for the updates from the SSIT team for status of the ticket. 
